time,type,tracktitle,speaker1,speaker2,speaker3,session_tracktitle,session_type,,,
08:00 - 09:30,break,Arrival to SAP Labs India Innovation Park & Registrations,,,,,,,,
09:30 - 10:00,break,"Keynote from Sindhu Gangadharan (MD, SAP Labs India | Head, Customer Innovation Services, SAP)",,,,,,,,
10:00 - 10:30,break,"Industry Talk - Sindhu Gangadharan, MD, SAP Labs India ; Head, Customer Innovation Services, SAP | Vijayanand K, Co-Founder, Grevoro Platforms Private Limited | Rajdev Bhattacharya, Global Head – Travel & Expense (T&E), Wipro Limited.",,,,,,,,
11:40 - 12:10,Deep Dive,UI5 in the World of AI,Merlin Beutlberger,,,"Krafted, BLR11 Lower Ground Floor",Deep Dive,,,
13:00 - 13:30,Deep Dive,DataRepository: Simplifying RESTful CRUD in UI5 without OData,Mohammed Sijas,,,"Krafted, BLR11 Lower Ground Floor",Deep Dive,,,
15:20 - 15:50,Deep Dive,Fiori applications demystified for backend developers and architects,Syed Anas Ali,,,"Krafted, BLR11 Lower Ground Floor",Deep Dive,,,
13:35 - 14:05,Deep Dive,Intelligent app development at scale with AI and SAP Fiori elements,Rajashree Raghavendra,Vinay Hospete,,"Krafted, BLR11 Lower Ground Floor",Deep Dive,,,
14:10 - 14:40,Deep Dive,Mobilize Fiori Element apps with SAP Mobile Development Kit (MDK),Jitendra Kansal,,,"Krafted, BLR11 Lower Ground Floor",Deep Dive,,,
14:45 - 15:15,Deep Dive,TypeScript in FE apps enables better modularity and easier maintenance,Arun Bharathi Kumarasamy,Adithya Bokkisum,,"Krafted, BLR11 Lower Ground Floor",Deep Dive,,,
15:30 - 15:55,Demo Pod,Seamless Journeys: Implementing Cross-App Navigation for UI5 MicroFrontends,Kotresh T M,,,"Krafted, BLR11 Lower Ground Floor",Demo Pod,,,
14:30 - 14:55,Demo Pod,"VibeCoding with SAP UI5: Smart, Stylish, and AI-Powered",Shubham Saklani,Sandeep Negi,,"Krafted, BLR11 Lower Ground Floor",Demo Pod,,,
13:00 - 13:25,Demo Pod,Achieving Quality Aspects in UI5 Coding using AI Assistants,Lajilekha Vijayan Nair,Shrikant Naidu,,"Krafted, BLR11 Lower Ground Floor",Demo Pod,,,
14:00 - 14:25,Demo Pod,"Plug, Play and Power Up Your UI - with UI5 Web Components",Rounak Roy,Vignesh Sathi Srikumar,Dharshini S,"Krafted, BLR11 Lower Ground Floor",Demo Pod,,,
15:00 - 15:25,Demo Pod,SAPUI5 SuiteControls and Gantt Chart for Business Applications,Ashwin Kumar Bolar,Vinay K N,Santhosh .,"Krafted, BLR11 Lower Ground Floor",Demo Pod,,,
11:40 - 12:05,Demo Pod,Enhancing UI5 Filters with a Vertical Refinement Panel in SAP FAL 2.0,Arijit Sarkar,Krushna Mantri,,"Krafted, BLR11 Lower Ground Floor",Demo Pod,,,
13:30 - 13:55,Demo Pod,Joule frontend actions bring AI conversations directly into FE apps.,Arun Bharathi Kumarasamy,,,"Krafted, BLR11 Lower Ground Floor",Demo Pod,,,
14:30 - 15:30,Hands-On,"Create great UX with AI, SAP Fiori elements and the MCP Server for Fiori ",Vinay Hospete,Maheeth Reddy Chintala,Ashish Anand,"Krafted, BLR11 Lower Ground Floor",Hands-On,,,
11:30 - 12:30,Hands-On, Flexibility at Scale with Freestyle SAPUI5 and SAP Fiori elements,Divya C K,Maheeth Reddy Chintala,,"Krafted, BLR11 Lower Ground Floor",Hands-On,,,
13:30 - 14:30,Hands-On,UI5 linter in Action: How to enable UI5 linter in your development process,Merlin Beutlberger,Peter Muessig,,"Krafted, BLR11 Lower Ground Floor",Hands-On,,,
11:00 - 11:30,keynote,Kickoff - UI5con Bengaluru,Stefan Beck,Peter Muessig,Rajashree Raghavendra,"Krafted, BLR11 Lower Ground Floor",keynote,,,
13:00 - 13:30,others,UI5's Ever-Evolving Accessibility,Gergana Georgieva,,,"Krafted, BLR11 Lower Ground Floor",others,,,
15:30 - 16:30,others,Ask us anythings session ,Peter Muessig,Vinod S Nair,Sandeep R S,"Krafted, BLR11 Lower Ground Floor",others,,,
12:00 - 1:00,Break,Lunch,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
